2014-11-17,30174,28894,2015-03-27,29354,8580,2014-01-13,37358,21156,2014-11-17,129244,170880,2014-09-18,168,70,2014-06-16,12502,14064,2015-03-30,45632,15428,2014-05-16,22842,12634,2015-03-02,4520,2102,2015-02-05,25750,22186,2015-04-07,9186,7308,2014-06-23,9840,5958,2015-01-26,1012,2018,2015-03-04,10570,4210,2014-12-12,452,988,2015-02-20,59836,41546,2014-03-06,74262,46804,2014-02-13,207026,78300
2014-11-14,8150,2046,2015-03-26,3352,664,2014-01-10,156,306,2014-11-14,214082,104760,2014-09-17,1846,82,2014-06-13,1418,62,2015-03-27,11786,678,2014-05-15,33658,27156,2015-02-27,250,7292,2015-02-04,28,10,2015-04-06,4184,2952,2014-06-20,2480,8956,2015-01-23,128,0,2015-03-03,1238,1324,2014-12-11,756,476,2015-02-19,5934,2710,2014-03-05,56628,41188,2014-02-12,9736,6134
2014-11-13,2988,12932,2015-03-25,1080,666,2014-01-09,298,106,2014-11-13,35708,24750,2014-09-16,444,172,2014-06-12,1066,74,2015-03-26,256,558,2014-05-14,40606,27580,2015-02-26,66,110,2015-02-03,2,0,2015-04-02,6214,2178,2014-06-19,3412,1822,2015-01-22,8214,116,2015-03-02,5788,4846,2014-12-10,878,1582,2015-02-18,11858,9240,2014-03-04,14098,12876,2014-02-11,24544,9926
2014-11-12,3670,3788,2015-03-24,1674,108,2014-01-08,488,160,2014-11-12,8516,5780,2014-09-15,874,60,2014-06-11,126,72,2015-03-25,138,54,2014-05-13,93080,57882,2015-02-25,1208,566,2015-02-02,8,152,2015-04-01,8012,114,2014-06-18,10282,6138,2015-01-21,122,2,2015-02-27,14660,6458,2014-12-09,1232,800,2015-02-17,6030,1610,2014-03-03,51856,5964,2014-02-10,10896,9038
2014-11-11,4672,4164,2015-03-23,3792,392,2014-01-07,216,390,2014-11-11,5046,4524,2014-09-12,382,104,2014-06-10,140,206,2015-03-24,472,422,2014-05-12,6838,19626,2015-02-24,208,19708,2015-01-30,36,0,2015-03-31,1158,82,2014-06-17,9886,7306,2015-01-20,140,200,2015-02-26,10448,4992,2014-12-08,744,118,2015-02-13,19022,10754,2014-02-28,55924,4858,2014-02-07,7528,7184
2014-11-10,1426,1986,2015-03-20,1740,204,2014-01-06,172,234,2014-11-10,3706,5014,2014-09-11,366,162,2014-06-09,58,316,2015-03-23,674,28,2014-05-09,33432,26204,2015-02-23,1166,2502,2015-01-29,36,204,2015-03-30,536,236,2014-06-16,246,510,2015-01-16,204,90,2015-02-25,23734,16570,2014-12-05,3092,8400,2015-02-12,22914,11252,2014-02-27,44164,21160,2014-02-06,19402,18900
2014-11-07,6782,10600,2015-03-19,14618,546,2014-01-03,1372,28,2014-11-07,7810,3304,2014-09-10,674,2,2014-06-06,266,168,2015-03-20,1084,836,2014-05-08,38976,47688,2015-02-20,700,10394,2015-01-28,210,8,2015-03-27,4456,1100,2014-06-13,30,70,2015-01-15,194,168,2015-02-24,2530,2526,2014-12-04,524,3302,2015-02-11,936,362,2014-02-26,16898,2646,2014-02-05,6948,2430
2014-11-06,23338,4336,2015-03-18,926,356,2014-01-02,1970,494,2014-11-06,3824,8102,2014-09-09,6368,284,2014-06-05,164,86,2015-03-19,1258,84,2014-05-07,26188,20146,2015-02-19,11014,2518,2015-01-27,20,0,2015-03-26,8670,2540,2014-06-12,198,48,2015-01-14,5174,126,2015-02-23,13340,8710,2014-12-03,2166,2286,2015-02-10,3142,4682,2014-02-25,8206,5732,2014-02-04,18224,14928
2014-11-05,20334,27208,2015-03-17,104,216,2013-12-31,5812,284,2014-11-05,4528,3420,2014-09-08,380,20,2014-06-04,134,14,2015-03-18,1218,20,2014-05-06,20634,24628,2015-02-18,5382,15470,2015-01-26,110,14,2015-03-25,1844,1832,2014-06-11,2,0,2015-01-13,902,94,2015-02-20,6434,7642,2014-12-02,2560,1754,2015-02-09,6450,7126,2014-02-24,45996,18248,2014-02-03,15448,8540
2014-11-04,3840,37472,2015-03-16,3418,1322,2013-12-30,644,104,2014-11-04,17814,6800,2014-09-05,4660,2164,2014-06-03,250,354,2015-03-17,40,272,2014-05-05,19766,22144,2015-02-17,6304,11466,2015-01-23,86,0,2015-03-24,308,5774,2014-06-10,40,0,2015-01-12,6518,7558,2015-02-19,4772,4866,2014-12-01,760,6024,2015-02-06,3240,332,2014-02-21,67044,32228,2014-01-31,11028,1338
2014-11-03,1790,4866,2015-03-13,2984,1076,2013-12-27,460,160,2014-11-03,2958,3046,2014-09-04,608,580,2014-06-02,1416,20,2015-03-16,1334,136,2014-05-02,25080,26752,2015-02-13,22142,14508,2015-01-22,32,0,2015-03-23,936,1384,2014-06-09,26,2,2015-01-09,6584,5472,2015-02-18,4210,4496,2014-11-28,266,94,2015-02-05,5030,1876,2014-02-20,59078,39726,2014-01-30,14510,2152
