2014-11-17,30174,28894,2014-11-17,129244,170880,2014-06-16,12502,14064,2014-05-16,22842,12634,2014-02-13,207026,78300,2015-02-20,59836,41546,2015-03-27,29354,8580
2014-11-14,8150,2046,2014-11-14,214082,104760,2014-06-13,1418,62,2014-05-15,33658,27156,2014-02-12,9736,6134,2015-02-19,5934,2710,2015-03-26,3352,664
2014-11-13,2988,12932,2014-11-13,35708,24750,2014-06-12,1066,74,2014-05-14,40606,27580,2014-02-11,24544,9926,2015-02-18,11858,9240,2015-03-25,1080,666
2014-11-12,3670,3788,2014-11-12,8516,5780,2014-06-11,126,72,2014-05-13,93080,57882,2014-02-10,10896,9038,2015-02-17,6030,1610,2015-03-24,1674,108
2014-11-11,4672,4164,2014-11-11,5046,4524,2014-06-10,140,206,2014-05-12,6838,19626,2014-02-07,7528,7184,2015-02-13,19022,10754,2015-03-23,3792,392
2014-11-10,1426,1986,2014-11-10,3706,5014,2014-06-09,58,316,2014-05-09,33432,26204,2014-02-06,19402,18900,2015-02-12,22914,11252,2015-03-20,1740,204
2014-11-07,6782,10600,2014-11-07,7810,3304,2014-06-06,266,168,2014-05-08,38976,47688,2014-02-05,6948,2430,2015-02-11,936,362,2015-03-19,14618,546
2014-11-06,23338,4336,2014-11-06,3824,8102,2014-06-05,164,86,2014-05-07,26188,20146,2014-02-04,18224,14928,2015-02-10,3142,4682,2015-03-18,926,356
2014-11-05,20334,27208,2014-11-05,4528,3420,2014-06-04,134,14,2014-05-06,20634,24628,2014-02-03,15448,8540,2015-02-09,6450,7126,2015-03-17,104,216
2014-11-04,3840,37472,2014-11-04,17814,6800,2014-06-03,250,354,2014-05-05,19766,22144,2014-01-31,11028,1338,2015-02-06,3240,332,2015-03-16,3418,1322
2014-11-03,1790,4866,2014-11-03,2958,3046,2014-06-02,1416,20,2014-05-02,25080,26752,2014-01-30,14510,2152,2015-02-05,5030,1876,2015-03-13,2984,1076
2014-10-31,20244,2998,2014-10-31,6146,4264,2014-05-30,614,378,2014-05-01,43142,23974,2014-01-29,13660,5904,2015-02-04,3780,3138,2015-03-12,2954,874
2014-10-30,1582,1330,2014-10-30,1646,2564,2014-05-29,1064,72,2014-04-30,1996,856,2014-01-28,17938,3646,2015-02-03,20632,7168,2015-03-11,918,50
2014-10-29,7762,13702,2014-10-29,2312,4692,2014-05-28,1696,440,2014-04-29,308,3132,2014-01-27,29548,19644,2015-02-02,4242,1646,2015-03-10,1038,1056
2014-10-28,5694,61430,2014-10-28,2670,2908,2014-05-27,420,126,2014-04-28,7104,1432,2014-01-24,11466,8016,2015-01-30,3186,1014,2015-03-09,3392,1578
2014-10-27,6508,16586,2014-10-27,11666,8996,2014-05-23,362,120,2014-04-25,2036,1500,2014-01-23,8566,1860,2015-01-29,4342,1992,2015-03-06,1152,588
2014-10-24,2254,792,2014-10-24,7384,5294,2014-05-22,758,0,2014-04-24,1284,1288,2014-01-22,10000,4864,2015-01-28,1328,126,2015-03-05,7216,848
2014-10-23,1162,634,2014-10-23,6908,2426,2014-05-21,674,110,2014-04-23,8018,730,2014-01-21,10682,3452,2015-01-27,878,628,2015-03-04,5398,208
2014-10-22,9844,3702,2014-10-22,6144,4046,2014-05-20,382,322,2014-04-22,3704,2712,2014-01-17,12524,7176,2015-01-26,1888,888,2015-03-03,5252,2554
2014-10-21,2260,2376,2014-10-21,13716,14486,2014-05-19,3430,226,2014-04-21,2796,6130,2014-01-16,31442,9482,2015-01-23,1230,1158,2015-03-02,6134,1164
2014-10-20,3418,7128,2014-10-20,13450,5530,2014-05-16,212,502,2014-04-17,17720,5760,2014-01-15,44968,22538,2015-01-22,344,424,2015-02-27,3030,2076
